,time,result,fleet size
0,119.62311506271362,170.95269135662272,2
1,76.25900101661682,203.1768176333713,2
2,80.20320868492126,206.49870112069522,2
3,77.83662343025208,193.04876586064776,2
4,65.71670341491699,189.7377725797163,2
5,78.03325319290161,222.1699046703236,2
6,68.19376230239868,207.71652838494236,2
7,66.97394227981567,232.56138785266964,2
8,126.35825896263123,183.9892988447154,2
9,116.55982875823975,221.90698569746488,2
10,78.000727891922,274.9745443066495,2
11,104.09308815002441,191.90999374820353,2
12,87.15965843200684,199.83281132063726,2
13,54.3350830078125,167.21668536046502,2
14,92.47052145004272,127.27419361831089,2
15,116.3950309753418,188.02982000953486,2
16,72.17168045043945,159.304391212191,2
17,61.72473692893982,172.76322755458042,2
18,62.12538933753967,169.30843235946668,2
19,157.8347578048706,169.36746797566929,2
